Slide #,Mount Date,Subject,Slide Mount Notation,Scanned,
582,,,"Dec., 69",X,
583,,,"Dec., 69",X,
584,,,"Dec., 69",X,
585,,,"Dec., 69",X,
586,Apr-70,,water basin,X,
587,Apr-70,,,X,
588,Apr-70,,,X,
589,Apr-70,,,X,
590,,Sand & Stone garden construction,"Out of sequence with neighboring slides.  Among other numbers stamped on mount is ""11-02""     Could this design change to/from the Slausen garden?",X,
591,Apr-70,,,X,
592,Apr-70,,,X,
593,Apr-70,,,X,
594,Apr-70,,,X,
595,Apr-70,,,X,
596,Apr-70,,,X,
597,Apr-70,,,X,
598,Apr-70,,,X,
599,Apr-70,,,X,
600,Apr-71,,,X,
601,May-70,,,X,
602,May-70,,,X,
603,May-70,,Azalea mucronatum,X,
604,May-70,,,X,
605,May-70,,,X,
606,May-70,,,X,
607,May-70,,,X,
608,May-70,,,X,
609,May-70,,,X,
610,May-70,,,X,
611,May-70,,,X,
612,May-70,,,X,
613,May-70,,,X,
614,May-70,,,X,
615,May-70,,,X,
616,May-70,,Hino Crimson   Hinodegeri,X,
617,May-70,,,X,
618,May-70,,,X,
619,May-70,,,X,
620,May-70,,Seattle,X,
621,May-70,,Nitobe,,
622,May-70,,UBC,,
623,May-70,,UBC,,
624,May-70,,UBC,,
625,May-70,,UBC,,
626,May-70,,UBC,,
627,May-70,,UBC,,
628,May-70,,UBC,,
629,,garden scene,Vancouver brewery ?,,
630,Nov-75,unidentified  outside garden,,,
631,Nov-75,,,X,
632,Nov-75,,Wilbur Sprague       Stubby,X,
633,Nov-75,,,X,
634,Nov-75,,,X,
635,Nov-75,,,X,
636,Nov-75,,,X,
637,,,Nov-75,X,
638,Dec-70,,,X,
639,Dec-70,,,X,
640,Dec-70,,,X,
641,Dec-70,,,X,
642,Dec-70,,,X,
643,Dec-70,,,X,
644,Dec-70,,,X,
645,Dec-70,,,X,
646,Dec-70,,,X,
647,Dec-70,,,X,
648,Dec-70,,,X,
649,Dec-70,,,X,
650,Dec-70,,,X,
651,Dec-70,,,X,
652,Dec-70,,,X,
653,Jan-71,snow scene in garden,,X,
654,Jan-71,snow scene in garden,,X,
655,Jan-71,snow scene in garden,,X,
656,Jan-71,snow scene in garden,,X,
657,Jan-71,snow scene in garden,,X,
658,Jan-71,,,X,
659,Jan-71,,,X,
660,Jan-71,,,X,
661,Jan-71,,,X,
662,Jan-71,,,X,
663,Jan-71,,,X,
664,Jan-71,,,X,
665,Jan-71,,,X,
666,Jan-71,,,X,
667,Jan-71,,,X,
668,Jan-71,,,X,
669,Jan-71,,,X,
670,Jan-71,,,X,
671,Jan-71,snow scene in garden,,X,
672,Jan-71,snow scene in garden,,X,
673,Jan-71,snow scene in garden,,X,
674,Jan-71,snow scene in garden,,X,
675,Jan-71,snow scene in garden,,X,
676,Jan-71,snow scene in garden,,X,
677,Jan-71,snow scene in garden,,X,
678,Jan-71,snow scene in garden,,X,
679,Jan-71,snow scene in garden,,X,
680,Jan-71,snow scene in garden,,X,
681,Jan-71,snow scene in garden,,X,
682,Jan-71,snow scene in garden,,X,
683,Jan-71,snow scene in garden,,X,
684,Jan-71,snow scene in garden,,X,
685,Jan-71,snow scene in garden,,X,
686,Jan-71,snow scene in garden,,X,
687,Jan-71,snow scene in garden,,X,
688,Jan-71,snow scene in garden,,X,
689,Jan-71,snow scene in garden,,X,
690,Mar-71,,,X,
691,Mar-71,,,X,
692,Mar-71,,,X,
693,Mar-71,,,X,
694,Mar-71,,,X,
695,Mar-71,,,X,
696,Mar-71,,,X,
697,Mar-71,,,X,
698,Mar-71,,,X,
699,Mar-71,,,X,
700,Mar-71,,,X,
701,Mar-71,stream in snow,small zigzag bridge,X,
702,Mar-71,stream in snow,small zigzag bridge,X,
703,Mar-71,stream in snow,small zigzag bridge,X,
704,Mar-71,snow,,X,
705,Mar-71,snow,,X,
706,Mar-71,Sand & Stone in snow,,X,
707,Mar-71,Natural garden in snow,below sand & stone garden wall,X,
708,Mar-71,stream stone placement,truck crane,X,
709,Mar-71,stream stone placement,truck crane,X,
710,Mar-71,Placing stone in stream,People,X,
711,Mar-71,Placing stone in stream,People,X,
712,Mar-71,Placing stone in stream,People,X,
713,Mar-71,stone in stream,,X,
714,Mar-71,Placing stone in stream,People,X,
715,Mar-71,Placing stone in stream,People,X,
716,Mar-71,Placing stone in stream,People,X,
717,Mar-71,stream stone placement,truck crane,X,
718,Mar-71,Placing stone in stream,People,X,
719,Mar-71,Placing stone in stream,People,X,
720,Mar-71,stones in dry creek ,,X,
721,Mar-71,Placing stone in stream,"John Kurisu, Lee Hiltenbrand",X,
722,Mar-71,stone in stream,People,X,
723,Mar-71,acer palmatum rootball,,X,
724,Mar-71,Stolling Pond placing acer palmatum,People,X,
725,Mar-71,Stolling Pond placing acer palmatum,People,X,
726,Mar-71,Stolling Pond placing acer palmatum,People,X,
727,Mar-71,Stolling Pond placing acer palmatum,People,X,
728,Mar-71,Dry stream/lower pond,Kurisu,X,
729,Apr-71,Plants,,X,
730,Apr-71,Flat Garden weeping cherry bloom,,X,
731,Apr-71,Flat Garden ,,X,
732,Apr-71,Lower Pond/Zig Zag Bridge,short bridge,X,
733,Apr-71,Stream & Lower Pond water,,X,
734,Apr-71,Stream/Koto Lantern/Moon Bridge,,X,
735,Apr-71,Moon Bridge,,X,
736,Apr-71,Tea House,,X,
737,Apr-71,Tea Garden,Christian Lantern/Tsukubi,X,
738,Apr-71,Koto Lantern,,X,
739,Apr-71,Upper Pond/Moon Bridge,,X,
740,Apr-71,Upper Pond/Moon Bridge,,X,
741,Apr-71,Upper Pond/Moon Bridge,,X,
742,Apr-71,flat garden walk?,,X,
743,Jul-71,,Oakland show,,
744,Jul-71,,Oakland show,,
745,Jul-71,,Oakland show,,
746,Jul-71,,Oakland show,,
747,Jul-71,,Oakland show,,
748,Jul-71,,Oakland show,,
749,Jul-71,,Oakland show,,
750,Jul-71,,Oakland show,,
751,Jul-71,,Oakland show,,
752,Jul-71,,Oakland show,,
753,Jul-71,,Oakland show,,
754,Jul-71,,Oakland show,,
755,Jul-71,,Oakland show,,
756,Jul-71,,SF Japanese Garden/April,,
757,Jul-71,,SF Japanese Garden/April,,
758,Jul-71,,USC LA UCLA,,
759,Jul-71,,USC LA UCLA,,
760,Jul-71,,USC LA UCLA,,
761,Jul-71,,UCLA,,
762,Jul-71,,UCLA (?),,
763,Jul-71,,UCLA (?),,
764,Jul-71,,UCLA (?),,
765,Jul-71,,UCLA (?),,
766,Jul-71,,UCLA (?),,
767,Jul-71,,UCLA (?),,
768,Jul-71,,UCLA (?),,
769,Jul-71,,UCLA (?),,
770,Jul-71,,UCLA (?),,
771,Jul-71,,UCLA (?),,
772,Jul-71,,UCLA (?),,
773,Jul-71,,UCLA (?),,
774,Jul-71,,UCLA (?),,
775,Jul-71,,UCLA (?),,
776,Jul-71,,UCLA (?),,
777,Jul-71,,UCLA (?),,
778,Jul-71,,UCLA (?),,
779,Jul-71,,UCLA (?),,
780,Jul-71,,UCLA (?),,
781,Jul-71,,UCLA (?),,
782,Jul-71,,UCLA (?),,
783,Jul-71,,UCLA (?),,
784,Jul-71,,UCLA (?),,
785,Jul-71,,UCLA (?),,
786,Jul-71,,UCLA (?),,
787,Jul-71,,UCLA (?),,
788,Jul-71,,UCLA (?),,
789,Jul-71,,UCLA (?),,
790,Jul-71,,UCLA (?),,
791,Jul-71,,UCLA (?),,
792,Jul-71,,UCLA (?),,
793,Jul-71,,UCLA Japanese Garden,,
794,Jul-71,,Deer Park LA,,
795,Jul-71,,Deer Park LA,,
796,Jul-71,,Deer Park ?,,
797,Jul-71,,Deer Park ?,,
798,Jul-71,,Deer Park ?,,
799,Jul-71,,Deer Park ?,,
800,Jul-71,,Deer Park ?,,
801,Jul-71,,Deer Park ?,,
802,Jul-71,,Deer Park ?,,
803,Jul-71,,Deer Park ?,,
804,Jul-71,,Deer Park ?,,
805,Jul-71,,Deer Park ?,,
806,Jul-71,,Deer Park ?,,
807,Jul-71,,Deer Park ?,,
808,Jul-71,,Deer Park ?,,
809,Jul-71,,Deer Park ?,,
810,Jul-71,,Deer Park ?,,
811,Jul-71,,Deer Park ?,,
812,Jul-71,,Deer Park ?,,
813,Jul-71,,Deer Park ?,,
814,Jul-71,,Deer Park ?,,
815,Jul-71,,Deer Park ?,,
816,Jul-71,,Deer Park ?,,
817,Jul-71,,Desconco Camellia Garden,,
818,Jul-71,,Desconco Camellia Garden,,
819,Jul-71,Flat Garden,,X,
820,Jul-71,Entry Gate Pinus Contorta,Pinus contorta   coast pine,X,
821,Jul-71,Entry Gate Pinus Contorta,,X,
822,Jul-71,Entry Gate Pinus Contorta,person,X,
823,?,Weeping willow,1971,X,
824,?,Cherry Hill,Spring 1971,X,
825,?,Cherry Hill,Spring 1971,X,
826,?,Cherry Hill,Spring 1971,X,
827,?,Cherry Hill,Spring 1971,X,
828,?,Pagoda area,,X,
829,?,Flat Garden,Pinus mugho,X,
830,Jul-71,Flat Garden,,X,
831,Jul-71,Skyline and Rose Garden,,X,
832,Jul-71,Pagoda area,,X,
833,Jul-71,Upper Pond/Peace Lantern,,X,
834,Jul-71,Moon Bridge,,X,
835,Jul-71,Upper Pond/Tea House,,X,
836,Jul-71,Entry Gate/Iris in broom,,X,
837,Jul-71,Entry Gate/Iris in broom,person,X,
838,?,Iris in bloom,,X,
839,?,Iris in bloom,,X,
840,?,Iris in bloom,,X,
841,Nov-73,Iris in bloom,,X,
842,Nov-73,Iris in bloom,,X,
843,?,Iris in bloom,,X,
844,Jul-71,Iris in bloom,,X,
845,Aug-77,Iris in bloom,,X,
846,Jul-71,Iris in bloom,,X,
847,Aug-77,Iris in bloom,,X,
848,Jul-71,Zigzag bridge from waterfall area,,X,
849,Jul-71,Iris bed/stream,,X,
850,Jul-71,Iris bed/stream,,X,
851,Jul-71,Iris bed/stream,,X,
852,Jul-71,Iris bed/stream,person,X,
853,Jul-71,Iris bed/stream,,X,
854,Jul-71,Lower pond/lantern,,X,
855,Sep-71,pond/stream/Koto lantern,P42-11-59,X,
856,Sep-71,upper pond,,X,
857,Sep-71,upper pond/cranes,,X,
858,Sep-71,waterfalls,,X,
859,Sep-71,moon bridge/koi,,X,
860,Sep-71,moon bridge,,X,
861,,woman in kimono,,X,
862,,woman in kimono,,X,
863,Sep-71,women in kimono/moon bridge/teahouse,,X,
864,Sep-71,upper pond/moonbridge/kimono,,X,
865,Sep-71,upper pond/moonbridge/kimono,,X,
866,Sep-71,upper pond/moonbridge/kimono,,X,
867,Sep-71,upper pond/moonbridge/kimono,,X,
868,Sep-71,upper pond/moonbridge/kimono,,X,
869,Sep-71,stream lantern / Kirisu?,,X,
870,Sep-71,stream lantern/ Kirisu?,,X,
871,Sep-71,Christian lantern/tsukubi,Postcard,X,
872,Sep-71,Event/tea ceremony?,Rubye Blake,X,
873,Sep-71,Event/tea ceremony?,,X,
874,Sep-71,Event/tea ceremony?,,X,
875,Sep-71,Event/tea ceremony?,,X,
876,Sep-71,Event/tea ceremony?,"Bill Robinson, Commisioner Connie McCready",X,
877,Sep-71,Event/tea ceremony?,,X,
878,Sep-71,Event/tea ceremony?,,X,
879,,,UBC Nitobe Garden  11-71,X,
880,,,UBC Nitobe Garden  11-71,X,
881,,,UBC Nitobe Garden  11-71,X,
882,,,Butchardt Japanese Garden 11-71,X,
883,,Acer palmatum fall color,,X,
884,,Acer palmatum fall color,,X,
885,Dec-71,Acer palmatum fall color,,X,
886,Dec-71,Acer palmatum fall color,,X,
887,Dec-71,Natural Garden/Pedistal lantern,,X,
888,Dec-71,Plant    Overexposed,,X,
889,Dec-71,Upper pond/bridge fall color,,X,
890,Dec-71,Upper pond/bridge fall color,,X,
891,Dec-71,bridge/cranes/ fall color,,X,
892,Dec-71,stream/fall color,,X,
893,Dec-71,stream/bridge/fall color,,X,
894,Dec-71,stream/bridge/fall color,,X,
895,Dec-71,tea garden? Dear chaser?,,X,
896,Dec-71,pagoda area fall color,purchase slide,X,
897,,acer fall color,,X,
898,,pagoda area fall color,,X,
899,Dec-71,stream/fall color,,X,
900,Dec-71,stream/fall color,,X,
901,Dec-71,,,X,
902,Dec-71,,,X,
903,,,,X,
904,Dec-71,,,X,
905,Dec-71,,Iris viewing bridge,X,
906,Dec-71,,,X,
907,Dec-71,,,X,
908,Dec-71,,,X,
909,Dec-71,,,X,
910,Dec-71,,,X,
911,Dec-71,,,X,
912,Dec-71,,,X,
913,Nov-73,,,X,
914,Apr-72,,,X,
915,Apr-72,,,X,
916,Apr-72,,,X,
917,Apr-72,,,X,
918,Apr-72,,,X,
919,Jun-72,,,X,
920,Jun-72,,,X,
921,Jun-72,,,X,
922,Jun-72,,,X,
923,Jun-72,,Azalea Everest,X,
924,Jun-72,,,X,
925,Jun-72,,,X,
926,Jun-72,,,X,
927,Jun-72,,,X,
928,Jun-72,,,X,
929,Jun-72,,,X,
930,Jun-72,,,X,
931,Jun-72,,,X,
932,Jun-72,,,X,
933,Jun-72,,,X,
934,Jun-72,,,X,
935,Jun-72,,,X,
936,Jun-72,,,X,
937,Jun-72,,,X,
938,Jun-72,,,X,
939,Aug-88,,,X,
940,Jun-72,,,X,
941,Jun-72,,,X,
942,Apr-71,,,X,
943,Jun-72,,,X,
944,Jun-72,,,X,
945,Aug-72,,,X,
946,Aug-72,,,X,
947,Aug-72,,,X,
948,Aug-72,,,X,
949,Aug-72,,,X,
950,Aug-72,,,X,
951,,Metal mount,,X,
952,Aug-72,,,X,
953,Aug-72,,,X,
954,Aug-72,,,X,
955,,Metal mount,,X,
956,Aug-72,,,X,
957,Aug-72,,,X,
958,Jun-72,,Bronze crane,X,
959,Aug-72,,,X,
960,Dec-72,,Seattle,X,
961,Dec-72,,Seattle,X,
962,Dec-72,,Seattle,X,
963,Dec-72,,Seattle,X,
964,Dec-72,,Seattle,X,
965,,,,X,
966,,,,X,
967,,,,X,
968,,,,X,
969,,,,X,
970,,,,X,
971,,,,X,
972,,,,X,
973,,,1973,X,
974,,,,X,
975,,,Japanese dog,X,
976,,,,X,
977,,,,X,
978,,,,X,
979,,,,X,
980,,,,X,
981,,Iyo stone in snow,,X,
982,,snow scene in garden,,X,
983,Jan-73,pagoda in snow,,X,
984,Jan-73,snow scene in garden,,X,
985,Jan-73,snow scene in garden,,X,
986,Jan-73,snow scene in garden,,X,
987,Jan-73,snow scene in garden,,X,
988,Jan-73,snow scene in garden,,X,
989,Jan-73,snow scene in garden,,X,
990,Jan-73,snow scene in garden,,X,
991,Jan-73,snow scene in garden,,X,
992,Jan-73,snow scene in garden,,X,
993,Jan-73,snow scene in garden,,X,
994,Jan-73,snow scene in garden,,X,
995,,Entry gate in snow,,X,
996,Jan-73,snow scene in garden,,X,
997,Jan-73,snow scene in garden,,X,
998,Jan-73,snow scene in garden,,X,
999,Jan-73,snow scene in garden,Azalea Gumpo at sleep,X,
1000,Jan-73,snow scene in garden,,X,
,,,,,
